"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "JSON with Comments", "SCSS", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ArticleDetailsPage\ArticleDetailsPage.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 15, 93
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ArticleDetailsPage\components\PdfViewer\PdfViewer.module.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ArticleDetailsPage\components\PdfViewer\PdfViewer.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ArticlePage\ArticlePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 34, 211
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ArticlePage\ArticlePage.tsx", "TypeScript JSX", 0, 0, 178, 0, 0, 0, 0, 0, 0, 2, 31, 211
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ConfirmationPage\ConfirmationPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 17, 118
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ConfirmationPage\ConfirmationPage.tsx", "TypeScript JSX", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 18, 150
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\EquipmentDetailsPage\EquipmentDetailsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 20, 121
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\EquipmentDetailsPage\EquipmentDetailsPage.tsx", "TypeScript JSX", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\EquipmentModelPage\EquipmentModelPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 17, 93
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\EquipmentModelPage\EquipmentModelPage.tsx", "TypeScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 14, 89
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\EquipmentPage\EquipmentPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 22, 120
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\EquipmentPage\EquipmentPage.tsx", "TypeScript JSX", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 25, 164
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ErrorPage\ErrorPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ErrorPage\ErrorPage.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\HomePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\HomePage.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\AboutPlatform\AboutPlatdorm.module.scss", "SCSS", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 12, 81
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\AboutPlatform\AboutPlatform.tsx", "TypeScript JSX", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 13, 58
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\AboutSection\AboutSection.module.scss", "SCSS", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 21, 133
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\AboutSection\AboutSection.tsx", "TypeScript JSX", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 7, 67
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\FeedbackSection\FeedbackSection.module.scss", "SCSS", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 28, 161
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\FeedbackSection\FeedbackSection.tsx", "TypeScript JSX", 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 24, 266
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\MainBanner\MainBanner.module.scss", "SCSS", 0, 0, 0, 0, 0, 221, 0, 0, 0, 0, 41, 262
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\MainBanner\MainBanner.tsx", "TypeScript JSX", 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 15, 92
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\PlatformSection\PlatformSection.module.scss", "SCSS", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 26, 149
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\PlatformSection\PlatformSection.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\TeamSection\TeamSection.module.scss", "SCSS", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 10, 69
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\HomePage\components\TeamSection\TeamSection.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\IntroPage\IntroPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 28, 181
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\IntroPage\IntroPage.tsx", "TypeScript JSX", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 8, 105
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\KnowledgePage\KnowledgePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 19, 123
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\KnowledgePage\KnowledgePage.tsx", "TypeScript JSX", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 7, 112
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\LoginPage\LoginPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 20, 123
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\LoginPage\LoginPage.tsx", "TypeScript JSX", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 14, 122
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\OfflineQuestDetailsPage\OfflineQuestDetailsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 19, 99
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\OfflineQuestDetailsPage\OfflineQuestDetailsPage.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 12, 69
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\PodcastsPage\PodcastsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 33, 213
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\PodcastsPage\PodcastsPage.tsx", "TypeScript JSX", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 22, 140
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\PracticumDetailsPage\PracticumDetailsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 47, 285
